image,category,color
10051.jpg,shirt,blue
10184.jpg,shirt,white
10185.jpg,shirt,white
10186.jpg,shirt,black
10187.jpg,shirt,black
10188.jpg,shirt,blue
10189.jpg,shirt,blue
10190.jpg,shirt,white
10255.jpg,shirt,blue
10256.jpg,shirt,green
10352.jpg,shirt,white
10355.jpg,shirt,blue
10356.jpg,shirt,blue
10369.jpg,shirt,blue
10380.jpg,shirt,black
10381.jpg,shirt,blue
10404.jpg,shirt,black
10407.jpg,shirt,grey
10421.jpg,shirt,blue
10423.jpg,shirt,grey
10425.jpg,shirt,green
10427.jpg,shirt,red
10430.jpg,shirt,blue
10431.jpg,shirt,grey
10432.jpg,shirt,blue
10433.jpg,shirt,black
10434.jpg,shirt,blue
10435.jpg,shirt,red
10437.jpg,shirt,green
10440.jpg,shirt,blue
10444.jpg,shirt,blue
10473.jpg,shirt,grey
10474.jpg,shirt,black
10475.jpg,shirt,brown
10477.jpg,shirt,blue
10478.jpg,shirt,red
10479.jpg,shirt,red
10480.jpg,shirt,yellow
10481.jpg,shirt,blue
10482.jpg,shirt,blue
10490.jpg,shirt,blue
10495.jpg,shirt,blue
10598.jpg,shirt,blue
10611.jpg,shirt,green
10612.jpg,shirt,red
10649.jpg,shirt,white
10650.jpg,shirt,blue
10787.jpg,shirt,green
10788.jpg,shirt,white
10789.jpg,shirt,red
10790.jpg,shirt,blue
10791.jpg,shirt,black
10792.jpg,shirt,red
10793.jpg,shirt,red
10794.jpg,shirt,blue
10795.jpg,shirt,blue
10796.jpg,shirt,red
10797.jpg,shirt,white
10799.jpg,shirt,blue
10800.jpg,shirt,blue
10801.jpg,shirt,blue
10802.jpg,shirt,blue
10803.jpg,shirt,white
10805.jpg,shirt,black
10806.jpg,shirt,green
10807.jpg,shirt,black
10809.jpg,shirt,black
10810.jpg,shirt,blue
10811.jpg,shirt,red
10812.jpg,shirt,brown
10813.jpg,shirt,black
10815.jpg,shirt,blue
10816.jpg,shirt,red
10817.jpg,shirt,green
10818.jpg,shirt,red
10819.jpg,shirt,black
10820.jpg,shirt,blue
10821.jpg,shirt,blue
11014.jpg,shirt,blue
11018.jpg,shirt,red
11030.jpg,shirt,blue
11032.jpg,shirt,blue
11039.jpg,shirt,red
11043.jpg,shirt,white
11044.jpg,shirt,white
11045.jpg,shirt,white
11046.jpg,shirt,white
11047.jpg,shirt,red
11048.jpg,shirt,red
11049.jpg,shirt,red
11050.jpg,shirt,red
11051.jpg,shirt,white
11052.jpg,shirt,white
11053.jpg,shirt,blue
11054.jpg,shirt,blue
11055.jpg,shirt,blue
11056.jpg,shirt,blue
11059.jpg,shirt,green
11062.jpg,shirt,red
11067.jpg,shirt,blue
11069.jpg,shirt,black
11070.jpg,shirt,black
11071.jpg,shirt,black
11072.jpg,shirt,black
11079.jpg,shirt,green
11080.jpg,shirt,green
11081.jpg,shirt,red
11082.jpg,shirt,red
11083.jpg,shirt,blue
11084.jpg,shirt,blue
11085.jpg,shirt,green
11086.jpg,shirt,green
11087.jpg,shirt,green
11088.jpg,shirt,green
11089.jpg,shirt,blue
11090.jpg,shirt,blue
11091.jpg,shirt,red
11092.jpg,shirt,red
11102.jpg,shirt,blue
11103.jpg,shirt,blue
11104.jpg,shirt,black
11105.jpg,shirt,black
11106.jpg,shirt,blue
11107.jpg,shirt,blue
11108.jpg,shirt,black
11109.jpg,shirt,black
11110.jpg,shirt,white
11111.jpg,shirt,white
11112.jpg,shirt,white
11113.jpg,shirt,white
11116.jpg,shirt,grey
11117.jpg,shirt,grey
11118.jpg,shirt,white
11119.jpg,shirt,white
11143.jpg,shirt,black
11144.jpg,shirt,black
11161.jpg,shirt,black
11162.jpg,shirt,black
11163.jpg,shirt,blue
11164.jpg,shirt,blue
11167.jpg,shirt,brown
11168.jpg,shirt,brown
11250.jpg,shirt,blue
11371.jpg,shirt,black
11372.jpg,shirt,blue
11375.jpg,shirt,white
11378.jpg,shirt,white
11384.jpg,shirt,red
11387.jpg,shirt,blue
11398.jpg,shirt,brown
11401.jpg,shirt,blue
11404.jpg,shirt,black
11411.jpg,shirt,green
11413.jpg,shirt,green
11414.jpg,shirt,black
11424.jpg,shirt,blue
11426.jpg,shirt,blue
11455.jpg,shirt,black
11459.jpg,shirt,blue
11461.jpg,shirt,white
11465.jpg,shirt,blue
11467.jpg,shirt,blue
11468.jpg,shirt,blue
11473.jpg,shirt,white
11482.jpg,shirt,blue
11632.jpg,shirt,black
11671.jpg,shirt,red
11672.jpg,shirt,yellow
11673.jpg,shirt,red
11675.jpg,shirt,red
